CreatePlayer("hero", # resource name
 3, # health
 6, # ammo
 4, # score
 300, # x
 312, # y
 animStand, # start animation
 1); # looped animation
CreateSprite("tile_column_1", 1304, 244);
CreateSprite("tile_column_1", 1432, 244);
CreateSprite("tile_column_1", 1467, 244);
CreateSprite("tile_column_1", 1595, 244);

CreateSprite("tile_wall_main", 35, 244);
CreateSprite("tile_wall_main", 198, 244);
CreateSprite("tile_wall_main", 361, 244);
CreateSprite("tile_wall_main", 524, 244);
CreateSprite("tile_wall_main", 687, 244);
CreateSprite("tile_wall_main", 850, 244);
CreateSprite("tile_wall_main", 1013, 244);
CreateSprite("tile_wall_main", 1176, 244);
CreateSprite("tile_wall_main", 1339, 244);
CreateSprite("tile_wall_main", 1502, 244);

CreateSprite("tile_floor", -28, 400);
CreateSprite("tile_floor", 4, 400);
CreateSprite("tile_floor", 36, 400);
CreateSprite("tile_floor", 68, 400);
CreateSprite("tile_floor", 100, 400);
CreateSprite("tile_floor", 132, 400);
CreateSprite("tile_floor", 164, 400);
CreateSprite("tile_floor", 196, 400);
CreateSprite("tile_floor", 228, 400);
CreateSprite("tile_floor", 260, 400);
CreateSprite("tile_floor", 292, 400);
CreateSprite("tile_floor", 324, 400);
CreateSprite("tile_floor", 356, 400);
CreateSprite("tile_floor", 388, 400);
CreateSprite("tile_floor", 420, 400);
CreateSprite("tile_floor", 452, 400);
CreateSprite("tile_floor", 484, 400);
CreateSprite("tile_floor", 516, 400);
CreateSprite("tile_floor", 548, 400);
CreateSprite("tile_floor", 580, 400);
CreateSprite("tile_floor", 612, 400);
CreateSprite("tile_floor", 644, 400);
CreateSprite("tile_floor", 676, 400);
CreateSprite("tile_floor", 708, 400);
CreateSprite("tile_floor", 740, 400);
CreateSprite("tile_floor", 772, 400);
CreateSprite("tile_floor", 804, 400);
CreateSprite("tile_floor", 836, 400);
CreateSprite("tile_floor", 868, 400);
CreateSprite("tile_floor", 900, 400);
CreateSprite("tile_floor", 932, 400);
CreateSprite("tile_floor", 964, 400);

CreateSprite("tile_floor", 996, 400);
CreateSprite("tile_floor", 1028, 400);
CreateSprite("tile_floor", 1060, 400);
CreateSprite("tile_floor", 1092, 400);
CreateSprite("tile_floor", 1124, 400);
CreateSprite("tile_floor", 1156, 400);
CreateSprite("tile_floor", 1188, 400);
CreateSprite("tile_floor", 1220, 400);
CreateSprite("tile_floor", 1252, 400);
CreateSprite("tile_floor", 1284, 400);
CreateSprite("tile_floor", 1316, 400);
CreateSprite("tile_floor", 1348, 400);
CreateSprite("tile_floor", 1380, 400);
CreateSprite("tile_floor", 1412, 400);
CreateSprite("tile_floor", 1444, 400);
CreateSprite("tile_floor", 1476, 400);
CreateSprite("tile_floor", 1508, 400);
CreateSprite("tile_floor", 1540, 400);
CreateSprite("tile_floor", 1572, 400);
CreateSprite("tile_floor", 1604, 400);

CreateEvent(EVENT_CONDITION_TIME_ELAPSED, 1, EVENT_ACTION_HERO_SAY, 0, "Let's rock!");


SetWorldMaxX(1600);
SetWorldMinX(0);
