23:40:38 Log started
23:40:39 Loading string: LoadTexture("textures/sohchan.bmp");
23:40:39 Loading texture: "textures/sohchan.bmp"
23:40:39 Loading string: LoadTexture("textures/sohchan_face.bmp");
23:40:39 Loading texture: "textures/sohchan_face.bmp"
23:40:39 Loading string: LoadTexture("textures/sohchan_figure.bmp");
23:40:39 Loading texture: "textures/sohchan_figure.bmp"
23:40:39 Loading string: LoadTexture("textures/tiles_city.bmp");
23:40:39 Loading texture: "textures/tiles_city.bmp"
23:40:39 Loading string: LoadTexture("textures/tiles_city_anim.bmp");
23:40:39 Loading texture: "textures/tiles_city_anim.bmp"
23:40:39 Loading string: LoadTexture("textures/tree2.bmp");
23:40:39 Loading texture: "textures/tree2.bmp"
23:40:39 Loading string: LoadTexture("textures/unyl_tan_figure.bmp");
23:40:39 Loading texture: "textures/unyl_tan_figure.bmp"
23:40:39 Loading string: LoadTexture("textures/win_screen.bmp");
23:40:39 Loading texture: "textures/win_screen.bmp"
23:40:39 Loading string: LoadTexture("textures/cmaniac.bmp");
23:40:39 Loading texture: "textures/cmaniac.bmp"
23:40:39 Loading string: LoadTexture("textures/fire_shot.bmp");
23:40:39 Loading texture: "textures/fire_shot.bmp"
23:40:39 Loading string: LoadTexture("textures/phys_floor.bmp");
23:40:39 Loading texture: "textures/phys_floor.bmp"
23:40:39 Loading string: LoadResource("objects/anonya.txt");
23:40:39 Loading resource: "objects/anonya.txt"
23:40:39 Loading string: LoadResource("objects/bullet.txt");
23:40:39 Loading resource: "objects/bullet.txt"
23:40:39 Loading string: LoadResource("objects/btard_Xs.txt");
23:40:39 Loading resource: "objects/btard_Xs.txt"
23:40:39 SetResourceField(): unknown field
23:40:39 SetResourceField(): unknown field
23:40:39 Loading string: LoadResource("objects/pwr_health.txt");
23:40:39 Loading resource: "objects/pwr_health.txt"
23:40:39 Loading string: LoadResource("objects/pwr_ammo.txt");
23:40:39 Loading resource: "objects/pwr_ammo.txt"
23:40:39 Loading string: LoadResource("objects/pwr_score.txt");
23:40:39 Loading resource: "objects/pwr_score.txt"
23:40:39 Loading string: LoadResource("objects/explosion.txt");
23:40:39 Loading resource: "objects/explosion.txt"
23:40:39 Loading string: LoadResource("objects/tile_floor.txt");
23:40:39 Loading resource: "objects/tile_floor.txt"
23:40:39 SetResourceField(): unknown field
23:40:39 Loading string: LoadResource("objects/tile_wall.txt");
23:40:39 Loading resource: "objects/tile_wall.txt"
23:40:40 Loading string: LoadResource("objects/tile_wall_1.txt");
23:40:40 Loading resource: "objects/tile_wall_1.txt"
23:40:40 Loading string: LoadResource("objects/tile_column_1.txt");
23:40:40 Loading resource: "objects/tile_column_1.txt"
23:40:40 Loading string: LoadResource("objects/tile_wall_main.txt");
23:40:40 Loading resource: "objects/tile_wall_main.txt"
23:40:40 Loading string: LoadResource("objects/tile_wall_2.txt");
23:40:40 Loading resource: "objects/tile_wall_2.txt"
23:40:40 Loading string: LoadResource("objects/tile_wall_lamp.txt");
23:40:40 Loading resource: "objects/tile_wall_lamp.txt"
23:40:40 Loading string: LoadResource("objects/tile_wall_up.txt");
23:40:40 Loading resource: "objects/tile_wall_up.txt"
23:40:40 Loading string: LoadResource("objects/sohchan_face.txt");
23:40:40 Loading resource: "objects/sohchan_face.txt"
23:40:40 Loading string: LoadResource("objects/btard_face.txt");
23:40:40 Loading resource: "objects/btard_face.txt"
23:40:40 Loading string: LoadResource("objects/unyl_tan_figure.txt");
23:40:40 Loading resource: "objects/unyl_tan_figure.txt"
23:40:40 Loading string: LoadResource("objects/shadow.txt");
23:40:40 Loading resource: "objects/shadow.txt"
23:40:40 Loading string: LoadResource("objects/slowpoke_xs.txt");
23:40:40 Loading resource: "objects/slowpoke_xs.txt"
23:40:40 Loading string: LoadResource("objects/slowpoke_face.txt");
23:40:40 Loading resource: "objects/slowpoke_face.txt"
23:40:40 Loading string: LoadResource("objects/slowpoke_projectile_xs.txt");
23:40:40 Loading resource: "objects/slowpoke_projectile_xs.txt"
23:40:40 Loading string: LoadResource("objects/tile_city1.txt");
23:40:40 Loading resource: "objects/tile_city1.txt"
23:40:40 SetResourceField(): unknown field
23:40:40 Loading string: LoadResource("objects/tile_city2.txt");
23:40:40 Loading resource: "objects/tile_city2.txt"
23:40:40 SetResourceField(): unknown field
23:40:40 Loading string: LoadResource("objects/tile_city3.txt");
23:40:40 Loading resource: "objects/tile_city3.txt"
23:40:40 SetResourceField(): unknown field
23:40:40 Loading string: LoadResource("objects/tile_city4.txt");
23:40:40 Loading resource: "objects/tile_city4.txt"
23:40:40 Loading string: LoadResource("objects/tile_city5.txt");
23:40:40 Loading resource: "objects/tile_city5.txt"
23:40:40 Loading string: LoadResource("objects/tile_city6.txt");
23:40:40 Loading resource: "objects/tile_city6.txt"
23:40:40 Loading string: LoadResource("objects/tile_city7.txt");
23:40:40 Loading resource: "objects/tile_city7.txt"
23:40:40 Loading string: LoadResource("objects/tile_city8.txt");
23:40:40 Loading resource: "objects/tile_city8.txt"
23:40:40 Loading string: LoadResource("objects/tile_city9.txt");
23:40:40 Loading resource: "objects/tile_city9.txt"
23:40:40 Loading string: LoadResource("objects/tile_city10.txt");
23:40:40 Loading resource: "objects/tile_city10.txt"
23:40:40 Loading string: LoadResource("objects/tile_city11.txt");
23:40:40 Loading resource: "objects/tile_city11.txt"
23:40:40 Loading string: LoadResource("objects/tile_city12.txt");
23:40:40 Loading resource: "objects/tile_city12.txt"
23:40:40 Loading string: LoadResource("objects/tile_city13.txt");
23:40:40 Loading resource: "objects/tile_city13.txt"
23:40:40 Loading string: LoadResource("objects/tile_city14.txt");
23:40:40 Loading resource: "objects/tile_city14.txt"
23:40:40 Loading string: LoadResource("objects/tile_city15.txt");
23:40:40 Loading resource: "objects/tile_city15.txt"
23:40:40 Loading string: LoadResource("objects/tile_city16.txt");
23:40:40 Loading resource: "objects/tile_city16.txt"
23:40:40 Loading string: LoadResource("objects/tile_city17.txt");
23:40:40 Loading resource: "objects/tile_city17.txt"
23:40:40 Loading string: LoadResource("objects/tile_city18.txt");
23:40:40 Loading resource: "objects/tile_city18.txt"
23:40:40 Loading string: LoadResource("objects/tile_city19.txt");
23:40:40 Loading resource: "objects/tile_city19.txt"
23:40:40 Loading string: LoadResource("objects/tile_city20.txt");
23:40:40 Loading resource: "objects/tile_city20.txt"
23:40:40 Loading string: LoadResource("objects/tile_city21.txt");
23:40:40 Loading resource: "objects/tile_city21.txt"
23:40:40 Loading string: LoadResource("objects/tile_city22.txt");
23:40:40 Loading resource: "objects/tile_city22.txt"
23:40:40 Loading string: LoadResource("objects/tile_city23.txt");
23:40:40 Loading resource: "objects/tile_city23.txt"
23:40:40 Loading string: LoadResource("objects/tile_city24.txt");
23:40:40 Loading resource: "objects/tile_city24.txt"
23:40:40 Loading string: LoadResource("objects/tile_city25.txt");
23:40:40 Loading resource: "objects/tile_city25.txt"
23:40:40 Loading string: LoadResource("objects/tile_city26.txt");
23:40:40 Loading resource: "objects/tile_city26.txt"
23:40:40 Loading string: LoadResource("objects/tile_city27.txt");
23:40:40 Loading resource: "objects/tile_city27.txt"
23:40:40 Loading string: LoadResource("objects/tile_city28.txt");
23:40:40 Loading resource: "objects/tile_city28.txt"
23:40:40 Loading string: LoadResource("objects/tile_city29.txt");
23:40:40 Loading resource: "objects/tile_city29.txt"
23:40:40 Loading string: LoadResource("objects/tile_city30.txt");
23:40:40 Loading resource: "objects/tile_city30.txt"
23:40:40 Loading string: LoadResource("objects/tile_city31.txt");
23:40:40 Loading resource: "objects/tile_city31.txt"
23:40:40 Loading string: LoadResource("objects/tile_city32.txt");
23:40:40 Loading resource: "objects/tile_city32.txt"
23:40:40 Loading string: LoadResource("objects/tile_city32.txt");
23:40:40 Loading resource: "objects/tile_city32.txt"
23:40:40 Loading string: LoadResource("objects/tile_city33.txt");
23:40:40 Loading resource: "objects/tile_city33.txt"
23:40:40 Loading string: LoadResource("objects/tile_city34.txt");
23:40:40 Loading resource: "objects/tile_city34.txt"
23:40:40 Loading string: LoadResource("objects/tile_city35.txt");
23:40:40 Loading resource: "objects/tile_city35.txt"
23:40:40 Loading string: LoadResource("objects/tile_city36.txt");
23:40:40 Loading resource: "objects/tile_city36.txt"
23:40:41 Loading string: LoadResource("objects/tile_city37.txt");
23:40:41 Loading resource: "objects/tile_city37.txt"
23:40:41 Loading string: LoadResource("objects/tile_city38.txt");
23:40:41 Loading resource: "objects/tile_city38.txt"
23:40:41 Loading string: LoadResource("objects/tile_city39.txt");
23:40:41 Loading resource: "objects/tile_city39.txt"
23:40:41 Loading string: LoadResource("objects/tile_city40.txt");
23:40:41 Loading resource: "objects/tile_city40.txt"
23:40:41 Loading string: LoadResource("objects/tile_city41.txt");
23:40:41 Loading resource: "objects/tile_city41.txt"
23:40:41 Loading string: LoadResource("objects/tile_city42.txt");
23:40:41 Loading resource: "objects/tile_city42.txt"
23:40:41 Loading string: LoadResource("objects/tile_city43.txt");
23:40:41 Loading resource: "objects/tile_city43.txt"
23:40:41 Loading string: LoadResource("objects/snowman1.txt");
23:40:41 Loading resource: "objects/snowman1.txt"
23:40:41 Loading string: LoadResource("objects/tree2.txt");
23:40:41 Loading resource: "objects/tree2.txt"
23:40:41 Loading string: LoadResource("objects/bump_sign.txt");
23:40:41 Loading resource: "objects/bump_sign.txt"
23:40:41 Loading string: LoadResource("objects/tile_tree.txt");
23:40:41 Loading resource: "objects/tile_tree.txt"
23:40:41 Loading string: LoadResource("objects/cmaniac.txt");
23:40:41 Loading resource: "objects/cmaniac.txt"
23:40:41 SetResourceField(): unknown field
23:40:41 Loading string: LoadResource("objects/fire_shot.txt");
23:40:41 Loading resource: "objects/fire_shot.txt"
23:40:41 Loading string: LoadResource("objects/phys_floor.txt");
23:40:41 Loading resource: "objects/phys_floor.txt"
23:40:41 Loading string: LoadDialog("dialogs/s_dialog_1.txt");
23:40:41 Loading dialog: "dialogs/s_dialog_1.txt"
23:40:41 Loading string: LoadDialog("dialogs/s_dialog_2.txt");
23:40:41 Loading dialog: "dialogs/s_dialog_2.txt"
23:40:41 Loading string: LoadFont("Courier New", 14, 400, "default");
23:40:41 Loading font: "Courier New"
23:40:41 Loading string: Init(console);
23:40:41 Loading string: LoadSound("sounds/music/iie_lab.it");
23:40:41 Loading string: LoadSound("sounds/music/iie_boss.it");
23:40:41 Loading string: LoadSound("sounds/music/iie_street.it");
23:40:41 Loading string: LoadSound("sounds/music/iie_win_jingle.it");
23:40:41 Loading string: LoadSound("sounds/explosion.ogg");
23:40:41 Loading string: LoadSound("sounds/health_appear.ogg");
23:40:41 Loading string: LoadSound("sounds/item_appear.ogg");
23:40:41 Loading string: LoadSound("sounds/blaster_shot.ogg");
23:40:41 Loading string: LoadWeather("particles/snow.txt");
23:40:41 Loading weather: "particles/snow.txt"
23:40:41 Loading string: Load("scripts/menu_main.txt");
23:40:41 Loading file: scripts/menu_main.txt
23:40:41 Loading string: NewGUIElem("GUIVidget", "vdgMainScreen");
23:40:41 Loading string: SetGUIElem("vdgMainScreen", "Width", 1024);
23:40:41 Loading string: SetGUIElem("vdgMainScreen", "Height", 768);
23:40:41 Loading string: SetGUIElem("vdgMainScreen", "X", 0);
23:40:41 Loading string: SetGUIElem("vdgMainScreen", "Y", 0);
23:40:41 Loading string: SetGUIElem("vdgMainScreen", "Color", 255, 255, 255, 255);
23:40:41 Loading string: SetGUIElem("vdgMainScreen", "Texture", "main_menu-bkg");
23:40:41 Loading string: SetGUIElem("vdgMainScreen", "Visible", 1);
23:40:41 Loading string: SetGUIElem("vdgMainScreen", "PatternCount", 1);
23:40:41 Loading string: SetGUIElem("vdgMainScreen", "CurrentPattern", 0);
23:40:41 Loading string: SetGUIElem("vdgMainScreen", "Group", MENU_MAIN);
23:40:41 Loading string: NewGUIElem("GUIButton", "btnLogo");
23:40:41 Loading string: SetGUIElem("btnLogo", "X", 85);
23:40:41 Loading string: SetGUIElem("btnLogo", "Y", 74);
23:40:41 Loading string: SetGUIElem("btnLogo", "Width", 512);
23:40:41 Loading string: SetGUIElem("btnLogo", "Height", 256);
23:40:41 Loading string: SetGUIElem("btnLogo", "Color", 255, 255, 255, 255);
23:40:41 Loading string: SetGUIElem("btnLogo", "Visible", 0);
23:40:41 Loading string: SetGUIElem("btnLogo", "Caption", "");
23:40:41 Loading string: SetGUIElem("btnLogo", "CaptionX", 30);
23:40:41 Loading string: SetGUIElem("btnLogo", "CaptionY", -20);
23:40:41 Loading string: SetGUIElem("btnLogo", "CaptionFont", "default");
23:40:41 Loading string: SetGUIElem("btnLogo", "CaptionColor", 255, 255, 255, 255);
23:40:41 Loading string: SetGUIElem("btnLogo", "SelectedCaptionColor", 0, 255, 0, 255);
23:40:41 Loading string: SetGUIElem("btnLogo", "PressedCaptionColor", 255, 0, 0, 255);
23:40:41 Loading string: SetGUIElem("btnLogo", "Group", MENU_MAIN);
23:40:41 Loading string: SetGUIElem("btnLogo", "Texture", "logo-cold");
23:40:41 Loading string: SetGUIElem("btnLogo", "Visible", 1);
23:40:41 Loading string: SetGUIElem("btnLogo", "PatternCount", 1);
23:40:41 Loading string: SetGUIElem("btnLogo", "CurrentPattern", 0);
23:40:41 Loading string: SetGUIElem("btnLogo", "Enabled", 0);
23:40:41 Loading string: SetGUIElem("btnLogo", "Border", 1);
23:40:41 Loading string: SetGUIElem("btnLogo", "BorderType", 1);
23:40:41 Loading string: int(x) = SYS_SCR_WIDTH / 2 - 150;
23:40:41 Loading string: int(y) = SYS_SCR_HEIGHT / 2 + 50;
23:40:41 Loading string: NewGUIElem("GUIButton", "btnStartGame");
23:40:41 Loading string: SetGUIElem("btnStartGame", "X", x);
23:40:41 Loading string: SetGUIElem("btnStartGame", "Y", y);
23:40:41 Loading string: SetGUIElem("btnStartGame", "Width", 80);
23:40:41 Loading string: SetGUIElem("btnStartGame", "Height", 9);
23:40:41 Loading string: SetGUIElem("btnStartGame", "Color", 255, 255, 255, 255);
23:40:41 Loading string: SetGUIElem("btnStartGame", "Visible", 1);
23:40:41 Loading string: SetGUIElem("btnStartGame", "Caption", "START GAME");
23:40:41 Loading string: SetGUIElem("btnStartGame", "CaptionX", 0);
23:40:41 Loading string: SetGUIElem("btnStartGame", "CaptionY", 0);
23:40:41 Loading string: SetGUIElem("btnStartGame", "CaptionFont", "default");
23:40:41 Loading string: SetGUIElem("btnStartGame", "CaptionColor", 181, 181, 181, 255);
23:40:41 Loading string: SetGUIElem("btnStartGame", "SelectedCaptionColor", 120, 88, 150, 255);
23:40:41 Loading string: SetGUIElem("btnStartGame", "PressedCaptionColor", 69, 46, 90, 255);
23:40:41 Loading string: SetGUIElem("btnStartGame", "Group", MENU_MAIN);
23:40:41 Loading string: SetGUIElem("btnStartGame", "AddSignal", GUI_SGN_OPEN_GROUP, MENU_CHARACTER, 0);
23:40:41 Loading string: y = y + 20;
23:40:41 Loading string: NewGUIElem("GUIButton", "btnExit");
23:40:41 Loading string: SetGUIElem("btnExit", "X", x);
23:40:41 Loading string: SetGUIElem("btnExit", "Y", y);
23:40:41 Loading string: SetGUIElem("btnExit", "Width", 30);
23:40:41 Loading string: SetGUIElem("btnExit", "Height", 9);
23:40:41 Loading string: SetGUIElem("btnExit", "Color", 255, 255, 255, 255);
23:40:41 Loading string: SetGUIElem("btnExit", "Visible", 1);
23:40:41 Loading string: SetGUIElem("btnExit", "Caption", "EXIT");
23:40:41 Loading string: SetGUIElem("btnExit", "CaptionX", 0);
23:40:41 Loading string: SetGUIElem("btnExit", "CaptionY", 0);
23:40:41 Loading string: SetGUIElem("btnExit", "CaptionFont", "default");
23:40:41 Loading string: SetGUIElem("btnExit", "CaptionColor", 181, 181, 181, 255);
23:40:41 Loading string: SetGUIElem("btnExit", "SelectedCaptionColor", 120, 88, 150, 255);
23:40:41 Loading string: SetGUIElem("btnExit", "PressedCaptionColor", 69, 46, 90, 255);
23:40:41 Loading string: SetGUIElem("btnExit", "Group", MENU_MAIN);
23:40:41 Loading string: SetGUIElem("btnExit", "AddSignal", GUI_SGN_CLOSE_PROGRAM, 0, 0);
23:40:41 Loading string: Load("scripts/choose_hero.txt");
23:40:41 Loading file: scripts/choose_hero.txt
23:40:41 Loading string: NewGUIElem("GUIVidget", "vdgCharSel");
23:40:41 Loading string: SetGUIElem("vdgCharSel", "Width", 1024);
23:40:41 Loading string: SetGUIElem("vdgCharSel", "Height", 768);
23:40:41 Loading string: SetGUIElem("vdgCharSel", "X", 0);
23:40:41 Loading string: SetGUIElem("vdgCharSel", "Y", 0);
23:40:41 Loading string: SetGUIElem("vdgCharSel", "Color", 255, 255, 255, 255);
23:40:41 Loading string: SetGUIElem("vdgCharSel", "Texture", "menu-bkg");
23:40:41 Loading string: SetGUIElem("vdgCharSel", "Visible", 0);
23:40:41 Loading string: SetGUIElem("vdgCharSel", "PatternCount", 1);
23:40:41 Loading string: SetGUIElem("vdgCharSel", "CurrentPattern", 0);
23:40:41 Loading string: SetGUIElem("vdgCharSel", "Group", MENU_CHARACTER);
23:40:41 Loading string: x = SYS_SCR_WIDTH / 2 - 80;
23:40:41 Loading string: y = SYS_SCR_HEIGHT / 2;
23:40:41 Loading string: int(x1) = SYS_SCR_WIDTH / 2 - 150;
23:40:41 Loading string: NewGUIElem("GUIButton", "btnSohchan");
23:40:41 Loading string: SetGUIElem("btnSohchan", "X", x1);
23:40:41 Loading string: SetGUIElem("btnSohchan", "Y", y);
23:40:41 Loading string: SetGUIElem("btnSohchan", "Width", 125);
23:40:41 Loading string: SetGUIElem("btnSohchan", "Height", 155);
23:40:41 Loading string: SetGUIElem("btnSohchan", "Color", 255, 255, 255, 255);
23:40:41 Loading string: SetGUIElem("btnSohchan", "Visible", 0);
23:40:41 Loading string: SetGUIElem("btnSohchan", "Caption", "SOH-chan");
23:40:41 Loading string: SetGUIElem("btnSohchan", "CaptionX", 30);
23:40:41 Loading string: SetGUIElem("btnSohchan", "CaptionY", -20);
23:40:41 Loading string: SetGUIElem("btnSohchan", "CaptionFont", "default");
23:40:41 Loading string: SetGUIElem("btnSohchan", "CaptionColor", 255, 255, 255, 255);
23:40:41 Loading string: SetGUIElem("btnSohchan", "SelectedCaptionColor", 0, 255, 0, 255);
23:40:41 Loading string: SetGUIElem("btnSohchan", "PressedCaptionColor", 255, 0, 0, 255);
23:40:41 Loading string: SetGUIElem("btnSohchan", "Group", MENU_CHARACTER);
23:40:41 Loading string: SetGUIElem("btnSohchan", "AddSignal", GUI_SGN_START_GAME, 0, 0);
23:40:41 Loading string: SetGUIElem("btnSohchan", "Texture", "sohchan_figure");
23:40:41 Loading string: SetGUIElem("btnSohchan", "PatternCount", 2);
23:40:41 Loading string: SetGUIElem("btnSohchan", "Visible", 0);
23:40:41 Loading string: SetGUIElem("btnSohchan", "PatternCount", 1);
23:40:41 Loading string: SetGUIElem("btnSohchan", "CurrentPattern", 0);
23:40:41 Loading string: SetGUIElem("btnSohchan", "Border", 1);
23:40:41 Loading string: SetGUIElem("btnSohchan", "BorderType", 1);
23:40:41 Loading string: x1 = x1 + 200;
23:40:41 Loading string: NewGUIElem("GUIButton", "btnUnylTan");
23:40:41 Loading string: SetGUIElem("btnUnylTan", "X", x1);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Y", y);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Width", 125);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Height", 155);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Color", 255, 255, 255, 255);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Visible", 0);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Caption", "Unyl-chan");
23:40:41 Loading string: SetGUIElem("btnUnylTan", "CaptionX", 30);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "CaptionY", -20);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "CaptionFont", "default");
23:40:41 Loading string: SetGUIElem("btnUnylTan", "CaptionColor", 255, 255, 255, 255);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "SelectedCaptionColor", 0, 255, 0, 255);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "PressedCaptionColor", 255, 0, 0, 255);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Group", MENU_CHARACTER);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "AddSignal", GUI_SGN_START_GAME, 0, 0);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Texture", "unyl_tan_figure");
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Visible", 0);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "PatternCount", 1);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "CurrentPattern", 0);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Enabled", 0);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "Border", 1);
23:40:41 Loading string: SetGUIElem("btnUnylTan", "BorderType", 1);
23:40:41 Loading string: int(x2) = SYS_SCR_WIDTH / 2 + 45;
23:40:41 Loading string: NewGUIElem("GUIButton", "lbl2");
23:40:41 Loading string: SetGUIElem("lbl2", "X", x2);
23:40:41 Loading string: SetGUIElem("lbl2", "Y", 401);
23:40:41 Loading string: SetGUIElem("lbl2", "Width", 80);
23:40:41 Loading string: SetGUIElem("lbl2", "Height", 9);
23:40:41 Loading string: SetGUIElem("lbl2", "Visible", 0);
23:40:41 Loading string: SetGUIElem("lbl2", "Caption", "(not enabled yet)");
23:40:41 Loading string: SetGUIElem("lbl2", "CaptionX", 0);
23:40:42 Loading string: SetGUIElem("lbl2", "CaptionY", 0);
23:40:42 Loading string: SetGUIElem("lbl2", "CaptionFont", "default");
23:40:42 Loading string: SetGUIElem("lbl2", "CaptionColor", 255, 0, 0, 255);
23:40:42 Loading string: SetGUIElem("lbl2", "SelectedCaptionColor", 0, 255, 0, 255);
23:40:42 Loading string: SetGUIElem("lbl2", "PressedCaptionColor", 255, 0, 0, 255);
23:40:42 Loading string: SetGUIElem("lbl2", "Group", MENU_CHARACTER);
23:40:42 Loading string: SetGUIElem("lbl2", "Enabled", 0);
23:40:42 Loading string: Load("scripts/menu_game.txt");
23:40:42 Loading file: scripts/menu_game.txt
23:40:42 Loading string: NewGUIElem("GUIButton", "btnLogoIngame");
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "X", 85);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "Y", 74);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "Width", 512);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "Height", 256);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "Color", 255, 255, 255, 255);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "Visible", 0);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "Caption", "");
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "CaptionX", 30);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "CaptionY", -20);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "CaptionFont", "default");
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "CaptionColor", 255, 255, 255, 255);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "SelectedCaptionColor", 0, 255, 0, 255);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "PressedCaptionColor", 255, 0, 0, 255);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "Group", MENU_GAME);
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "Texture", "logo-cold");
23:40:42 Loading string: SetGUIElem("btnLogoIngame", "Visible", 1);
23:40:42 Loading string: x = SYS_SCR_WIDTH / 2 - 50;
23:40:42 Loading string: y = SYS_SCR_HEIGHT / 2 + 20;
23:40:42 Loading string: NewGUIElem("GUIButton", "btnContinue");
23:40:42 Loading string: SetGUIElem("btnContinue", "X", x);
23:40:42 Loading string: SetGUIElem("btnContinue", "Y", y);
23:40:42 Loading string: SetGUIElem("btnContinue", "Width", 105);
23:40:42 Loading string: SetGUIElem("btnContinue", "Height", 9);
23:40:42 Loading string: SetGUIElem("btnContinue", "Color", 255, 255, 255, 255);
23:40:42 Loading string: SetGUIElem("btnContinue", "Visible", 0);
23:40:42 Loading string: SetGUIElem("btnContinue", "Caption", "CONTINUE GAME");
23:40:42 Loading string: SetGUIElem("btnContinue", "CaptionX", 0);
23:40:42 Loading string: SetGUIElem("btnContinue", "CaptionY", 0);
23:40:42 Loading string: SetGUIElem("btnContinue", "CaptionFont", "default");
23:40:42 Loading string: SetGUIElem("btnContinue", "CaptionColor", 255, 255, 255, 255);
23:40:42 Loading string: SetGUIElem("btnContinue", "SelectedCaptionColor", 120, 88, 150, 255);
23:40:42 Loading string: SetGUIElem("btnContinue", "PressedCaptionColor", 69, 46, 90, 255);
23:40:42 Loading string: SetGUIElem("btnContinue", "Group", MENU_GAME);
